Name,Gender,Count,Year
James,M,5927,1880
James,M,5441,1881
James,M,5892,1882
James,M,5223,1883
James,M,5693,1884
James,M,5175,1885
James,M,5355,1886
James,M,4768,1887
James,M,5562,1888
James,M,5020,1889
James,M,5097,1890
James,M,4516,1891
James,M,5398,1892
James,M,5030,1893
James,M,5110,1894
James,M,5335,1895
James,M,5206,1896
James,M,5113,1897
James,M,5321,1898
James,M,4597,1899
James,M,7245,1900
James,M,4735,1901
James,M,5592,1902
James,M,5479,1903
James,M,5855,1904
James,M,6042,1905
James,M,5908,1906
James,M,6707,1907
James,M,7012,1908
James,M,7595,1909
James,M,9194,1910
James,M,9952,1911
James,M,17644,1912
James,M,20832,1913
James,M,26263,1914
James,M,33773,1915
James,M,35568,1916
James,M,37338,1917
James,M,42116,1918
James,M,42391,1919
James,M,47908,1920
James,M,49750,1921
James,M,49803,1922
James,M,50463,1923
James,M,52942,1924
James,M,52682,1925
James,M,53194,1926
James,M,53676,1927
James,M,52753,1928
James,M,52130,1929
James,M,53958,1930
James,M,51217,1931
James,M,51923,1932
James,M,51109,1933
James,M,54267,1934
James,M,54998,1935
James,M,54698,1936
James,M,56558,1937
James,M,59101,1938
James,M,59633,1939
James,M,62483,1940
James,M,66746,1941
James,M,77175,1942
James,M,80277,1943
James,M,76955,1944
James,M,74460,1945
James,M,87441,1946
James,M,94758,1947
James,M,88600,1948
James,M,86858,1949
James,M,86227,1950
James,M,87251,1951
James,M,87065,1952
James,M,86080,1953
James,M,86311,1954
James,M,84178,1955
James,M,84899,1956
James,M,84341,1957
James,M,78738,1958
James,M,78621,1959
James,M,76826,1960
James,M,75937,1961
James,M,72545,1962
James,M,71303,1963
James,M,73034,1964
James,M,67686,1965
James,M,65167,1966
James,M,61686,1967
James,M,60675,1968
James,M,59906,1969
James,M,61747,1970
James,M,54609,1971
James,M,47079,1972
James,M,42854,1973
James,M,41345,1974
James,M,39576,1975
James,M,38304,1976
James,M,40043,1977
James,M,39903,1978
James,M,39363,1979
James,M,39323,1980
James,M,38301,1981
James,M,38878,1982
James,M,36342,1983
James,M,35867,1984
James,M,35865,1985
James,M,34047,1986
James,M,32662,1987
James,M,32521,1988
James,M,32712,1989
James,M,32359,1990
James,M,30514,1991
James,M,28508,1992
James,M,26253,1993
James,M,24774,1994
James,M,22730,1995
James,M,21163,1996
James,M,20405,1997
James,M,19687,1998
James,M,18554,1999
James,M,17990,2000
James,M,17073,2001
James,M,16966,2002
James,M,16895,2003
James,M,16468,2004
James,M,16140,2005
James,M,16252,2006
James,M,15968,2007
James,M,15186,2008
James,M,14217,2009
James,M,13895,2010
James,M,13267,2011
James,M,13449,2012
James,M,13586,2013
James,M,14456,2014
James,M,14857,2015
James,M,14905,2016
James,M,14346,2017
James,M,13629,2018
James,M,13174,2019
James,M,12368,2020
James,M,12429,2021
James,M,12028,2022
